NMI,Northern Mariana Islands,Australia
NOR,Norway,Europe
OMA,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Australia
PAN,Panama,North America
PNG,Papua New Guinea,Australia
PAR,Paraguay,South America
PER,Peru,South America
PHI,Philippines,Asia
PCN,Pitcairn,Australia
POL,Poland,Europe
POR,Portugal,Europe
PUR,Puerto Rico,North America
QAT,Qatar,Asia
REU,Réunion,Africa
KOR,Republic of Korea,Asia
MDA,Republic of Moldova,Europe
ROU,Romania,Europe
RUS,Russian Federation,Europe
RWA,Rwanda,Africa
SHN,Saint Helena,Africa
SKN,Saint Kitts and Nevis,North America
LCA,Saint Lucia,North America
SPM,Saint Pierre and Miquelon,North America
VIN,Saint Vincent and the Grenadines,North America
SAM,Samoa,Australia
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SEY,Seychelles,Africa
SLE,Sierra Leone,Africa
SIN,Singapore,Asia
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SOL,Solomon Islands,Australia
SOM,Somalia,Africa
RSA,South Africa,Africa
ESP,Spain,Europe
SRI,Sri Lanka,Asia
PLE,State of Palestine,Asia
SUD,Sudan,Africa
SUR,Suriname,South America
SWE,Sweden,Europe
SUI,Switzerland,Europe
SYR,Syrian Arab Republic,Asia
TJK,Tajikistan,Asia
THA,Thailand,Asia
MKD,The former Yugoslav Republic of Macedonia,Europe
TLS,Timor-Leste,Australia
TOG,Togo,Africa
TKL,Tokelau,Australia
TGA,Tonga,Australia
TRI,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,North America
TUV,Tuvalu,Australia
UGA,Uganda,Africa
UKR,Ukraine,Europe
UAE,United Arab Emirates,Asia
ENG,United Kingdom of Great Britain and Northern Ireland,Europe
TAN,United Republic of Tanzania,Africa
USA,United States of America,North America
VIR,United States Virgin Islands,North America
URU,Uruguay,South America
UZB,Uzbekistan,Asia
VAN,Vanuatu,Australia
VEN,Venezuela (Bolivarian Republic of),South America
VIE,Viet Nam,Asia
WLF,Wallis and Futuna Islands,Australia
SAH,Western Sahara,Africa
YEM,Yemen,Asia
ZAM,Zambia,Africa
ZIM,Zimbabwe,Africa
